id,date,amount,description,currency,fee
S0001,2024-05-20,13.71,Netflix,USD,0.7
S0002,2024-02-22,49.04,Adobe Creative Cloud,USD,1.72
S0003,2024-01-16,282.23,UNITED AIRLINES,USD,8.48
S0003_DUP,2024-01-16,282.23,UNITED AIRLINES,USD,8.48
S0004,2024-11-04,1.83,Google *Services,USD,0.35
S0005,2024-11-28,291.09,Delta,USD,8.74
S0006,2024-05-22,54.15,Adobe Creative Cloud,USD,1.87
S0007,2024-06-23,5.29,iTunes,USD,0.45
S0008,2024-06-21,9.14,Spotify Premium,USD,0.57
S0009,2024-07-02,21.69,UBER* TRIP,USD,0.93
S0010,2024-01-23,17.43,LYFT,USD,0.81
S0011,2024-07-12,283.98,DELTA AIR,USD,8.54
S0012,2024-11-17,300.15,DELTA AIR LINES,USD,9.0
S0013,2024-02-05,262.32,UNITED AIRLINES,USD,7.91
S0014,2024-02-10,59.49,ADOBE SYSTEMS,USD,2.03
S0015,2024-08-20,15.41,Netflix Subscription,USD,0.75
S0016,2024-04-17,4.8,APPLE.COM/BILL,USD,0.44
S0017,2024-03-28,23.24,UBER,USD,0.97
S0018,2024-05-18,4.93,Apple,USD,0.44
S0019,2024-01-29,74.11,TARGET 00,USD,2.45
S0020,2024-07-24,7.37,STARBUCKS #1042,USD,0.51
S0021,2024-10-17,20.55,UBER* TRIP,USD,0.9
S0022,2024-07-21,2.08,GOOGLE LLC,USD,0.36
S0023,2024-05-06,9.29,Spotify AB,USD,0.57
S0024,2024-10-25,282.8,United Air,USD,8.5
S0025,2024-03-11,194.52,COSTCO WHSE,USD,5.94
S0027,2024-08-04,5.43,APPLE.COM/BILL,USD,0.46
S0028,2024-08-27,75.52,WHOLE FOODS,USD,2.49
S0029,2024-01-06,354.63,DELTA AIR,USD,10.58
S0030,2024-11-23,344.08,DELTA AIR LINES,USD,10.28
S0031,2024-03-21,15.0,NETFLIX INC,USD,0.73
S0032,2024-05-14,102.24,Amazon.com,USD,3.26
S0033,2024-11-16,118.0,VERIZON,USD,3.72
S0034,2024-03-19,108.43,VERIZON,USD,3.44
S0035,2024-09-28,5.05,APPLE.COM/BILL,USD,0.45
S0036,2024-01-10,17.76,Lyft,USD,0.82
S0037,2024-06-06,236.53,Costco,USD,7.16
S0038,2024-10-17,6.23,STARBUCKS STORE #4021,USD,0.48
S0039,2024-02-05,24.09,UBER,USD,1.0
S0040,2024-10-08,10.47,SPOTIFY,USD,0.6
S0041,2024-11-06,13.1,MICROSOFT,USD,0.68
S0042,2024-12-19,2.25,GOOGLE,USD,0.37
S0044,2024-08-19,50.39,Anytime Fitness,USD,1.76
S0045,2024-06-22,50.45,ADOBE SYSTEMS,USD,1.76
S0046,2024-10-28,293.67,United,USD,8.82
S0047,2024-11-19,78.41,AMZN MKTP US,USD,2.57
S0048,2024-01-17,47.85,Adobe Inc,USD,1.69
S0049,2024-05-22,22.6,Uber Technologies,USD,0.96
S0050,2024-10-19,2.01,GOOGLE LLC,USD,0.36
S0051,2024-07-27,59.69,ADOBE SYSTEMS,USD,2.03
S0052,2024-08-08,14.06,Netflix Subscription,USD,0.71
S0053,2024-01-28,41.95,TRADER JOE S,USD,1.52
S0054,2024-06-22,6.55,STARBUCKS STORE #4021,USD,0.49
S0055,2024-10-01,49.9,ADOBE *CREATIVE,USD,1.75
S0056,2024-05-22,9.76,SPOTIFY USA,USD,0.58
S0057,2024-02-08,61.17,ADOBE *CREATIVE,USD,2.07
S0059,2024-05-01,25.38,UBER,USD,1.04
S0060,2024-04-19,42.91,TJs,USD,1.54
S0061,2024-01-02,6.07,Starbucks Coffee,USD,0.48
S0062,2024-08-20,14.65,MSFT,USD,0.72
S0063,2024-10-11,45.64,TJs,USD,1.62
S0064,2024-04-21,9.06,Spotify Premium,USD,0.56
S0065,2024-02-01,309.44,UA*TICKET,USD,9.27
S0066,2024-09-01,5.84,Starbucks,USD,0.47
S0067,2024-02-11,7.68,Starbucks,USD,0.52
S0068,2024-12-11,23.14,UBER,USD,0.97
S0069,2024-10-18,69.37,Whole Foods Market,USD,2.31
S0070,2024-11-13,297.19,UNITED AIRLINES,USD,8.92
S0071,2024-10-16,45.13,TRADER JOES,USD,1.61
S0072,2024-06-09,11.84,MICROSOFT,USD,0.64
S0073,2024-12-09,12.58,MSFT,USD,0.66
S0074,2024-02-07,42.52,Planet Fitness,USD,1.53
S0075,2024-10-15,46.64,Planet Fitness,USD,1.65
S0076,2024-09-16,22.75,UBER* TRIP,USD,0.96
S0077,2024-02-05,11.29,SPOTIFY,USD,0.63
S0078,2024-08-12,198.7,COSTCO GAS,USD,6.06
S0079,2024-11-30,21.47,Lyft,USD,0.92
S0080,2024-12-05,300.74,Delta,USD,9.02
S0081,2024-02-23,9.28,SPOTIFY,USD,0.57
S0082,2024-04-17,12.14,MSFT,USD,0.65
S0083,2024-05-15,2.1,GOOGLE LLC,USD,0.36
S0084,2024-01-28,14.57,Microsoft 365,USD,0.72
S0085,2024-01-23,47.36,TRADER JOE S,USD,1.67
S0087,2024-10-09,5.35,iTunes,USD,0.46
S0088,2024-02-08,272.96,Delta Airlines,USD,8.21
S0089,2024-07-08,275.46,Delta Airlines,USD,8.29
S0090,2024-06-06,38.28,TRADER JOES,USD,1.41
S0091,2024-04-17,7.56,Starbucks,USD,0.52
S0092,2024-10-13,15.29,NETFLIX INC,USD,0.74
S0093,2024-05-01,20.15,LYFT *RIDE,USD,0.88
S0094,2024-01-13,5.56,Apple,USD,0.46
S0095,2024-07-29,72.89,Target Store,USD,2.41
S0096,2024-12-25,11.66,Microsoft 365,USD,0.64
S0097,2024-08-28,87.04,Whole Foods Market,USD,2.82
S0098,2024-08-23,2.18,Google Play,USD,0.36
S0100,2024-07-23,94.31,AMAZON MARKETPLACE,USD,3.03
S0101,2024-05-22,14.41,MSFT,USD,0.72
S0102,2024-10-01,101.84,VERIZON,USD,3.25
S0103,2024-05-13,79.61,Amazon.com,USD,2.61
S0104,2024-05-15,329.1,UNITED AIRLINES,USD,9.84
S0105,2024-06-25,16.44,Netflix Subscription,USD,0.78
S0106,2024-09-18,44.47,TJs,USD,1.59
S0107,2024-04-07,87.68,WHOLE FOODS,USD,2.84
S0108,2024-01-01,7.17,Starbucks,USD,0.51
S0109,2024-12-06,208.02,COSTCO GAS,USD,6.33
S0111,2024-07-28,98.99,VERIZON,USD,3.17
S0112,2024-10-10,82.93,Whole Foods Market,USD,2.7
S0113,2024-07-13,1.91,GOOGLE,USD,0.36
S0114,2024-07-26,19.14,Lyft,USD,0.86
S0115,2024-08-08,125.9,WAL-MART,USD,3.95
S0116,2024-12-11,44.21,PLANET FITNESS,USD,1.58
S0117,2024-03-27,104.16,Verizon Wireless,USD,3.32
S0118,2024-11-20,135.12,WAL-MART,USD,4.22
S0119,2024-04-30,24.65,UBER* TRIP,USD,1.01
S0120,2024-03-16,60.05,Adobe Creative Cloud,USD,2.04
S0121,2024-08-31,6.23,STARBUCKS STORE #4021,USD,0.48
S0122,2024-11-18,43.84,PLANET FITNESS,USD,1.57
S0123,2024-05-04,78.17,Whole Foods Market,USD,2.57
S0124,2024-02-24,100.59,Amzn Digital,USD,3.22
S0125,2024-12-22,49.64,ADOBE *CREATIVE,USD,1.74
S0126,2024-03-03,6.87,Starbucks Coffee,USD,0.5
S0127,2024-12-07,10.89,Spotify AB,USD,0.62
S0128,2024-09-15,46.52,Anytime Fitness,USD,1.65
S0129,2024-03-22,314.81,Delta,USD,9.43
S0130,2024-05-06,41.75,24 HOUR FITNESS,USD,1.51
S0131,2024-05-02,104.51,VERIZON,USD,3.33
S0132,2024-05-26,39.3,PLANET FITNESS,USD,1.44
S0133,2024-10-03,12.35,Microsoft 365,USD,0.66
S0135,2024-07-27,1.73,Google Play,USD,0.35
S0136,2024-02-01,316.73,DELTA AIR,USD,9.49
S0137,2024-10-26,41.67,TRADER JOE S,USD,1.51
S0139,2024-08-02,144.73,Walmart,USD,4.5
S0140,2024-08-11,81.51,AT AND T,USD,2.66
S0141,2024-12-08,86.99,Amzn Digital,USD,2.82
S0142,2024-03-06,5.5,iTunes,USD,0.46
S0143,2024-12-05,80.46,WHOLEFDS,USD,2.63
S0144,2024-03-11,23.46,Uber Technologies,USD,0.98
S0145,2024-07-13,4.32,Apple Store,USD,0.43
S0146,2024-06-21,1.96,GOOGLE LLC,USD,0.36
S0147,2024-08-03,13.97,MSFT,USD,0.71
S0148,2024-10-03,22.3,Uber *trip,USD,0.95
S0149,2024-02-05,194.83,COSTCO WHSE,USD,5.95
S0150,2024-04-12,102.13,AMZN MKTP US,USD,3.26
S0150_DUP,2024-04-12,102.13,AMZN MKTP US,USD,3.26
S0151,2024-03-05,16.79,LYFT,USD,0.79
S0152,2024-04-21,16.3,NETFLIX INC,USD,0.77
S0153,2024-03-26,14.03,Microsoft 365,USD,0.71
S0154,2024-02-25,5.69,APPLE.COM/BILL,USD,0.47
S0155,2024-07-11,137.56,Walmart.com,USD,4.29
S0156,2024-12-19,1.74,GOOGLE,USD,0.35
S0157,2024-06-04,16.94,NETFLIX.COM,USD,0.79
S0158,2024-06-26,313.5,United Air,USD,9.39
S0159,2024-11-27,184.93,COSTCO GAS,USD,5.66
S0160,2024-09-07,99.43,AMZN MKTP US,USD,3.18
S0161,2024-11-21,49.06,TJs,USD,1.72
S0162,2024-09-24,9.8,Spotify AB,USD,0.58
S0163,2024-10-02,20.48,LYFT,USD,0.89
S0164,2024-10-30,44.13,24 HOUR FITNESS,USD,1.58
S0165,2024-02-14,74.29,TARGET 00,USD,2.45
S0166,2024-08-25,41.51,Anytime Fitness,USD,1.5
S0167,2024-06-15,57.7,Target Store,USD,1.97
S0168,2024-05-12,81.31,AT&T Services,USD,2.66
S0169,2024-12-25,14.47,MSFT,USD,0.72
S0170,2024-04-07,272.97,DELTA AIR,USD,8.22
S0171,2024-09-07,58.62,ADOBE SYSTEMS,USD,2.0
S0172,2024-09-07,92.9,AT AND T,USD,2.99
S0173,2024-04-23,79.0,Amzn Digital,USD,2.59
S0174,2024-10-24,51.79,Adobe Inc,USD,1.8
S0175,2024-06-25,90.43,AT AND T,USD,2.92
S0176,2024-12-25,303.76,Delta,USD,9.11
S0177,2024-04-28,12.24,Microsoft 365,USD,0.65
S0178,2024-10-01,1.88,GOOGLE,USD,0.35
S0179,2024-09-04,1.82,Google Play,USD,0.35
S0180,2024-09-25,330.35,UA*TICKET,USD,9.88
S0181,2024-05-31,17.59,Netflix,USD,0.81
S0182,2024-01-08,191.97,Costco,USD,5.87
S0183,2024-01-28,11.22,MSFT,USD,0.63
S0184,2024-09-08,10.4,Spotify Premium,USD,0.6
S0185,2024-08-28,91.99,Amzn Digital,USD,2.97
S0186,2024-01-27,42.85,24 HOUR FITNESS,USD,1.54
S0187,2024-02-03,78.7,AT AND T,USD,2.58
S0188,2024-11-18,77.63,AT&T,USD,2.55
S0188_DUP,2024-11-18,77.63,AT&T,USD,2.55
S0189,2024-10-15,8.94,Spotify AB,USD,0.56
S0191,2024-11-12,19.29,LYFT *RIDE,USD,0.86
S0192,2024-08-14,101.23,VERIZON,USD,3.24
S0193,2024-06-05,331.49,UNITED AIRLINES,USD,9.91
S0194,2024-02-20,21.34,LYFT *RIDE,USD,0.92
S0195,2024-02-11,1.85,GOOGLE,USD,0.35
S0196,2024-02-08,49.61,ADOBE SYSTEMS,USD,1.74
S0197,2024-12-18,87.52,Amzn Digital,USD,2.84
S0198,2024-05-27,115.61,WAL-MART,USD,3.65
S0200,2024-04-10,302.97,United Air,USD,9.09
SEXT001,2024-04-07,11.99,Dropbox,USD,0.65
SEXT002,2024-03-01,7.25,Slack,USD,0.51
SEXT003,2024-01-28,8.0,Notion,USD,0.53
SEXT004,2024-05-14,11.99,Dropbox,USD,0.65
